accession	mechanism
A0A348G6I7	unassigned
A0A348G6I9	unassigned
A0A348G6J0	unassigned
A0A348G6J1	unassigned
A0A384E129	unassigned
A0A384J6C4	unassigned
A0A384JN58	unassigned
A0A384K116	unassigned
A0A3B7TLI7	negative_context
A0A3G1VU73	convertase
A0A3G1VU77	convertase
A0A3G1VU78	convertase
A0A3G1VU81	convertase
A0A3G1VU84	convertase
A0A3G3C7S0	unassigned
A0A3G3C7S2	unassigned
A0A3G3C7S9	unassigned
A0A3G3C7T5	unassigned
A0A3G3C7U1	unassigned
A0A3G3C7U2	unassigned
A0A3G3C7U4	unassigned
A0A3G3C7U7	unassigned
A0A3G3C7U9	convertase
A0A3G3C7V0	unassigned
A0A3G3C7V7	unassigned
A0A3G5BIB1	unassigned
A0A3G5BIB4	unassigned
A0A3G5BIC2	unassigned
A0A3G5BID2	unassigned
A0A3P8MJV5	convertase
A0A3S9V8K6	convertase
A0A3S9V8L9	convertase
A0A452E9Y6	unassigned
A0A4P9I8G4	unassigned
A0A4S8L4Q5	negative
A0A4Y7TJF3	negative
A0A5C1ZW08	unassigned
A0A5C1ZXT8	unassigned
A0A5C2A2T2	unassigned
A0A5C3KU62	negative
A0A5P9K461	convertase
A0A5Q0MU22	convertase
A0A5Q0MUM5	convertase
A0A5Q0MUT1	convertase
A0A679PF76	unassigned
A0A6B7FBD3	convertase
A0A6B9L8Y4	unassigned
A0A6B9L900	unassigned
A0A6G9KHD1	unassigned
A0A6G9KHD6	unassigned
A0A6G9KHE4	unassigned
A0A6G9KIR5	unassigned
A0A6G9KIT6	unassigned
A0A6G9KJK9	unassigned
A0A6G9KJV6	unassigned
A0A6M3Z4D9	unassigned
A0A6M3Z4L2	negative
A0A6M3Z4R1	unassigned
A0A6M3Z541	unassigned
A0A6M3Z9I6	unassigned
A0A6P8HC43	convertase
A0A7J6KDB0	unassigned
A0A7M6UNN1	unassigned
A0A8J9SEV3	unassigned
A0A8U0LTF0	unassigned
A0A8U0LTF5	unassigned
A0A8U0LTY4	unassigned
A0A976SLN7	unassigned
A0A976XJR9	unassigned
A0A976XK90	unassigned
A0A976XKR0	unassigned
A0AAD6J456	unassigned
A0AAW0V9R8	unassigned
A0AAW0V9U7	unassigned
A0AEI5	convertase
A0AEI6	unassigned
A0AIY9	unassigned
A0AT32	negative_context
A0B5B1	zymogen_protease
A0C767	unassigned
A0E358	zymogen_protease
A0FKN6	zymogen_protease
A0JD32	negative_context
A0JMK6	negative
A0JNL5	unassigned
A0JNQ7	unassigned
A0JWY6	zymogen_protease
A0LU50	zymogen_protease
A0MLS4	unassigned
A0NDK8	convertase
A0PQT3	zymogen_protease
A0Q1T6	unassigned
A0QFB5	zymogen_protease
A0QZ47	zymogen_protease
A0RJ49	unassigned
A0RXV1	zymogen_protease
A0RZB4	unassigned
A0S864	unassigned
A0S865	unassigned
A0SE59	unassigned
A0SE60	unassigned
A0SIF1	convertase
A0SIX6	convertase
A0SN38	convertase
A0SN42	convertase
A0SN45	convertase
A0SPI1	unassigned
A0T099	unassigned
A0T0G9	unassigned
A0T0S8	unassigned
A0T0W2	unassigned
A0ZT93	unassigned
A0ZZ15	unassigned
A0ZZ18	unassigned
A1A4K5	convertase
A1C7B5	unassigned
A1C948	zymogen_protease
A1CBR4	zymogen_protease
A1CD22	unassigned
A1CIV8	zymogen_protease
A1CVV8	zymogen_protease
A1D145	zymogen_protease
A1D9K5	zymogen_protease
A1DAQ2	zymogen_protease
A1DBP9	convertase
A1DDK1	zymogen_protease
A1DHY9	unassigned
A1DJ47	unassigned
A1E9Q4	unassigned
A1E9Q7	unassigned
A1E9R0	unassigned
A1E9Y8	unassigned
A1E9Z1	unassigned
A1E9Z4	unassigned
A1EC31	negative
A1JKC3	unassigned
A1JUB7	negative_context
A1KKF3	zymogen_protease
A1KXI0	zymogen_protease
A1KXI1	zymogen_protease
A1L453	zymogen_protease
A1R6Q7	zymogen_protease
A1RSJ8	zymogen_protease
A1RWY6	zymogen_protease
A1RX71	zymogen_protease
A1SK13	zymogen_protease
A1TAP4	zymogen_protease
A1UHS7	zymogen_protease
A1X8B6	unassigned
A1X8B8	unassigned
A1X8B9	unassigned
A1X8C2	unassigned
A1X8C3	unassigned
A1XFV1	unassigned
A1XIH3	zymogen_protease
A1XIH4	zymogen_protease
A1XIH5	zymogen_protease
A1XIH6	zymogen_protease
A1XQU1	zymogen_protease
A1Z0M0	convertase
A1ZB63	unassigned
A1ZB64	unassigned
A2A5I3	unassigned
A2A863	negative_context
A2BDG0	unassigned
A2BDG5	unassigned
A2BDG9	unassigned
A2BN24	zymogen_protease
A2BN27	zymogen_protease
A2BP21	unassigned
A2BP71	unassigned
A2BUK1	unassigned
A2BUQ3	unassigned
A2C057	unassigned
A2C0A5	unassigned
A2C6Q1	unassigned
A2CCL2	unassigned
A2D4U1	convertase
A2D670	convertase
A2IA93	negative_context
A2QAH3	zymogen_protease
A2QBB6	zymogen_protease
A2QBQ3	unassigned
A2QCV8	zymogen_protease
A2QH21	unassigned
A2QL39	zymogen_protease
A2QTS4	unassigned
A2QUQ2	unassigned
A2QYT9	unassigned
A2R2G1	zymogen_protease
A2R3L3	zymogen_protease
A2R5S4	zymogen_protease
A2R8F8	zymogen_protease
A2RLA2	unassigned
A2SS78	zymogen_protease
A2T309	unassigned
A2T329	unassigned
A2T346	negative_context
A2T6K4	convertase
A2V9Z4	convertase
A2VDN0	negative
A2VE33	unassigned
A2XHZ9	unassigned
A2YFB4	unassigned
A2ZBG5	unassigned
A2ZC67	zymogen_protease
A3BEP8	unassigned
A3CUS9	zymogen_protease
A3DBS4	unassigned
A3DN21	zymogen_protease
A3DN27	zymogen_protease
A3F7X1	convertase
A3F7X2	unassigned
A3GFU8	unassigned
A3MXQ6	zymogen_protease
A3PAU3	unassigned
A3PAZ3	unassigned
A3Q193	zymogen_protease
A4FBY1	zymogen_protease
A4FYA5	zymogen_protease
A4GGA1	unassigned
A4GYN9	unassigned
A4GYQ5	unassigned
A4H220	convertase
A4H221	convertase
A4H222	convertase
A4H223	convertase
A4K2P8	negative_context
A4LA70	unassigned
A4QJ96	unassigned
A4QJB1	unassigned
A4QJI0	unassigned
A4QJJ5	unassigned
A4QJR4	unassigned
A4QJS9	unassigned
A4QJZ9	unassigned
A4QK14	unassigned
A4QK85	unassigned
A4QKA1	unassigned
A4QKH2	unassigned
A4QKI8	unassigned
A4QKR1	unassigned
A4QKS7	unassigned
A4QL00	unassigned
A4QL15	unassigned
A4QL86	unassigned
A4QLA2	unassigned
A4QLH5	unassigned
A4QLJ0	unassigned
A4QLR3	unassigned
A4QLS9	unassigned
A4R640	zymogen_protease
A4TB64	zymogen_protease
A4TL44	unassigned
A4USB4	zymogen_protease
A4V8W0	zymogen_protease
A4VCL2	unassigned
A4VUF9	unassigned
A4W0Q0	unassigned
A4WA61	unassigned
A4WMZ0	zymogen_protease
A4X3P0	zymogen_protease
A4X744	zymogen_protease
A4XJS7	unassigned
A4YIE0	zymogen_protease
A4YJ04	zymogen_protease
A5A3H1	convertase
A5A3H2	convertase
A5A3H3	convertase
A5A3H4	convertase
A5A3H5	convertase
A5A6H8	negative
A5A6J6	negative
A5A6K7	convertase
A5A6M2	negative
A5A6P7	unassigned
A5A8K9	unassigned
A5DWI6	unassigned
A5F934	negative_context
A5GIE8	unassigned
A5GIM7	unassigned
A5GJU5	unassigned
A5GTY4	unassigned
A5GTY5	unassigned
A5GWF4	unassigned
A5H1G9	unassigned
A5HAK0	negative
A5I667	unassigned
A5IS17	unassigned
A5ITG9	unassigned
A5JUY8	unassigned
A5K3U9	zymogen_protease
A5LHG2	convertase
A5LHX3	zymogen_protease
A5N6K1	unassigned
A5U4D6	zymogen_protease
A5UM14	zymogen_protease
A5VKS3	unassigned
A5WP84	zymogen_protease
A6BM07	unassigned
A6BM28	unassigned
A6BM30	unassigned
A6H4Q8	unassigned
A6H5E4	unassigned
A6H5G7	unassigned
A6L3B5	unassigned
A6LHQ6	unassigned
A6LHQ9	unassigned
A6LQR8	unassigned
A6M934	unassigned
A6MFK7	convertase
A6MFK8	convertase
A6MFK9	unassigned
A6MM16	unassigned
A6MM32	unassigned
A6MMA2	unassigned
A6MMB8	unassigned
A6MMI8	unassigned
A6MMK3	unassigned
A6MMS4	unassigned
A6MMU0	unassigned
A6MVT2	unassigned
A6MWS8	convertase
A6MWT0	convertase
A6N6J0	convertase
A6NCE7	unassigned
A6ND01	unassigned
A6NFA1	zymogen_protease
A6NLX4	negative_context
A6P331	unassigned
A6QG32	unassigned
A6QHI7	unassigned
A6QHZ4	negative_context
A6QPN6	unassigned
A6REE0	zymogen_protease
A6RPU4	unassigned
A6T4P0	negative_context
A6U0U8	unassigned
A6U2B3	unassigned
A6USJ3	zymogen_protease
A6UT20	zymogen_protease
A6VK02	zymogen_protease
A6W970	zymogen_protease
A6XGK3	zymogen_protease
A6XN32	unassigned
A6YB85	unassigned
A6YF56	convertase
A6YR20	unassigned
A6YR21	unassigned
A6YR40	unassigned
A6YR42	unassigned
A6YRN9	unassigned
A6ZL22	unassigned
A6ZQH2	convertase
A6ZQH3	convertase
A6ZQH4	convertase
A6ZSH9	unassigned
A6ZY20	unassigned
A6ZZG0	convertase
A6ZZG1	convertase
A6ZZH2	unassigned
A7E8H4	unassigned
A7ETG2	zymogen_protease
A7FFL9	unassigned
A7FXU7	unassigned
A7GHK3	unassigned
A7GT16	zymogen_protease
A7GTC2	unassigned
A7I841	zymogen_protease
A7KE01	zymogen_protease
A7KII6	zymogen_protease
A7L035	negative_context
A7LAC6	zymogen_protease
A7LAC7	zymogen_protease
A7LCJ2	convertase
A7LI90	unassigned
A7LI92	unassigned
A7M4E1	unassigned
A7M8Y6	unassigned
A7M8Z7	unassigned
A7M962	unassigned
A7MAQ2	negative_context
A7MLT4	unassigned
A7RMN1	convertase
A7SCE5	convertase
A7SRR3	convertase
A7ST80	convertase
A7TLD4	unassigned
A7UDM9	unassigned
A7UKV5	zymogen_protease
A7WNV3	convertase
A7WNV4	convertase
A7WNV5	convertase
A7WNV6	convertase
A7WNV7	convertase
A7X149	unassigned
A7X362	unassigned
A7X3S0	unassigned
A7X3S2	unassigned
A7X3V0	unassigned
A7Y395	unassigned
A7Y3C5	unassigned
A7YY44	unassigned
A7Z070	unassigned
A7Z6W8	zymogen_protease
A7Z783	unassigned
A7ZM42	negative_context
A8AA46	zymogen_protease
A8AB58	zymogen_protease
A8AWF9	unassigned
A8B5P0	convertase
A8B5P7	convertase
A8B5Q0	convertase
A8CEN1	negative_context
A8CL69	convertase
A8D888	unassigned
A8DY01	convertase
A8FFD9	zymogen_protease
A8FFT0	unassigned
A8G2T2	unassigned
A8G5N5	unassigned
A8GI73	unassigned
A8LH54	zymogen_protease
A8M2A3	zymogen_protease
A8M8R5	zymogen_protease
A8MBW0	zymogen_protease
A8PZM4	zymogen_protease
A8Q7G1	unassigned
A8QL56	zymogen_protease
A8QZJ5	unassigned
A8SE40	unassigned
A8W3A5	unassigned
A8W3C0	unassigned
A8W3H2	unassigned
A8W3I3	unassigned
A8W7M4	unassigned
A8W7M7	unassigned
A8W7N4	unassigned
A8W7N8	unassigned
A8W7P0	unassigned
A8WTF8	convertase
A8WU84	convertase
A8WVU7	negative_context
A8XV36	negative_context
A8Y7N4	convertase
A8Y7N7	convertase
A8Y7N8	convertase
A8Y7N9	unassigned
A8Y7P5	unassigned
A8Y9F0	unassigned
A8Y9F6	unassigned
A8YPR6	convertase
A8YPR9	convertase
A8Z1R1	unassigned
A8Z2H3	unassigned
A9A2U7	zymogen_protease
A9A4A1	zymogen_protease
A9A788	zymogen_protease
A9CM07	unassigned
A9KMF6	unassigned
A9L976	unassigned
A9L992	unassigned
A9LYI1	unassigned
A9N6W3	negative_context
A9P3S1	unassigned
A9R1E1	negative_context
A9R3T6	unassigned
A9UGV5	unassigned
A9UGV6	unassigned
A9UGV7	unassigned
A9VHU8	zymogen_protease
A9VIR7	unassigned
A9WSI1	zymogen_protease
A9XDG0	unassigned
A9XDG1	unassigned
A9XDG2	unassigned
A9XDG3	unassigned
A9XFZ7	convertase
B0BK71	unassigned
B0BK72	unassigned
B0BND0	unassigned
B0C6Z7	unassigned
B0CB14	unassigned
B0CPC6	unassigned
B0FYL5	unassigned
B0I1T2	negative
B0JIS8	unassigned
B0JSW8	unassigned
B0K416	unassigned
B0KAC0	unassigned
B0KZ78	unassigned
B0KZ79	unassigned
B0L0Y5	unassigned
B0L0Y6	convertase
B0R2U4	unassigned
B0R4C8	zymogen_protease
B0TBW5	unassigned
B0XPA1	zymogen_protease
B0XT09	unassigned
B0XT72	unassigned
B0XTU6	unassigned
B0XVI5	unassigned
B0XXF8	unassigned
B0XZV8	unassigned
B0Y1V8	zymogen_protease
B0Y4Z4	zymogen_protease
B0Y665	unassigned
B0Y8H9	unassigned
B0Y9G4	negative_context
B0YAH0	zymogen_protease
B0YED6	zymogen_protease
B0YPN1	unassigned
B0Z4K6	unassigned
B0Z4M1	unassigned
B0Z4U0	unassigned
B0Z4V5	unassigned
B0Z524	unassigned
B0Z539	unassigned
B0Z5A8	unassigned
B0Z5C3	unassigned
B0ZE70	unassigned
B0ZT25	unassigned
B1A915	unassigned
B1A931	unassigned
B1AIJ8	unassigned
B1ATG9	zymogen_protease
B1AVD1	zymogen_protease
B1B213	unassigned
B1B5I9	convertase
B1B5J0	convertase
B1B6T1	unassigned
B1IBP4	unassigned
B1ILY6	unassigned
B1IQZ3	unassigned
B1JR58	unassigned
B1KZR4	unassigned
B1L6S7	zymogen_protease
B1LP71	negative_context
B1MAI2	zymogen_protease
B1NWD0	unassigned
B1NWE6	unassigned
B1NWR6	convertase
B1NWR7	convertase
B1NWS1	convertase
B1NWS4	convertase
B1NWS8	convertase
B1NWT3	convertase
B1NWT4	convertase
B1NWT5	convertase
B1NWT7	convertase
B1NWU2	convertase
B1NWU3	convertase
B1NWU4	convertase
B1NWU5	convertase
B1NWU6	convertase
B1P1A0	unassigned
B1P1A4	unassigned
B1P1A5	unassigned
B1P1A6	unassigned
B1P1A7	unassigned
B1P1A8	unassigned
B1P1A9	unassigned
B1P1B0	unassigned
B1P1B1	unassigned
B1P1B2	unassigned
B1P1B3	unassigned
B1P1B4	unassigned
B1P1B6	unassigned
B1P1B7	unassigned
B1P1B8	unassigned
B1P1B9	unassigned
B1P1C0	unassigned
B1P1C1	unassigned
B1P1C2	unassigned
B1P1C4	unassigned
B1P1C6	unassigned
B1P1C7	unassigned
B1P1C8	unassigned
B1P1C9	unassigned
B1P1D0	unassigned
B1P1D2	unassigned
B1P1D3	unassigned
B1P1D4	unassigned
B1P1D5	unassigned
B1P1D6	unassigned
B1P1D7	unassigned
B1P1D8	unassigned
B1P1D9	unassigned
B1P1E0	unassigned
B1P1E1	unassigned
B1P1E2	unassigned
B1P1E3	unassigned
B1P1E4	unassigned
B1P1E5	unassigned
B1P1E6	unassigned
B1P1E7	unassigned
B1P1E8	unassigned
B1P1E9	unassigned
B1P1F0	unassigned
B1P1F1	unassigned
B1P1F2	unassigned
B1P1F3	unassigned
B1P1F4	unassigned
B1P1F7	unassigned
B1P1F8	unassigned
B1P1F9	unassigned
B1P1G0	unassigned
B1P1G1	unassigned
B1P1G2	unassigned
B1P1G3	unassigned
B1P1G4	unassigned
B1P1G5	unassigned
B1P1G6	unassigned
B1P1G7	unassigned
B1P1G8	unassigned
B1P1G9	unassigned
B1P1H1	unassigned
B1P1H2	unassigned
B1P1H3	unassigned
B1P1H4	unassigned
B1P1H5	unassigned
B1P1H6	convertase
B1P1H7	convertase
B1P1H8	unassigned
B1P1H9	unassigned
B1P1I1	unassigned
B1P1I2	unassigned
B1P1I3	unassigned
B1P1I4	unassigned
B1P1I5	unassigned
B1P1I6	unassigned
B1P1J4	unassigned
B1PZN6	unassigned
B1VAF3	unassigned
B1VC86	unassigned
B1VKF9	unassigned
B1VKG9	unassigned
B1W306	zymogen_protease
B1WUL2	unassigned
B1X831	negative_context
B1XF50	negative_context
B1XF62	unassigned
B1XIP3	unassigned
B1XM24	unassigned
B1XMC3	unassigned
B1XMN4	unassigned
B1YDJ0	zymogen_protease
B1YJS1	unassigned
B2A6B5	unassigned
B2B3P6	zymogen_protease
B2B403	negative_context
B2CJ87	unassigned
B2DCR8	unassigned
B2G856	unassigned
B2GD71	unassigned
B2HFV6	zymogen_protease
B2IQ02	unassigned
B2J4T9	unassigned
B2KAB7	unassigned
B2KJ30	unassigned
B2KKR4	convertase
B2KKV6	zymogen_protease
B2KKW0	zymogen_protease
B2LMI9	unassigned
B2MW54	convertase
B2RH54	unassigned
B2RH57	unassigned
B2RH58	unassigned
B2RH59	unassigned
B2RHG1	unassigned
B2RHG3	unassigned
B2RHG4	unassigned
B2TK69	unassigned
B2V0A7	unassigned
B2WMR5	zymogen_protease
B2XWK1	unassigned
B2Y1U6	unassigned
B2Y1W5	unassigned
B2ZB95	convertase
B2ZB96	convertase
B2ZB98	convertase
B2ZB99	convertase
B2ZBA0	convertase
B2ZBA1	convertase
B2ZBB6	unassigned
B2ZBB8	unassigned
B2ZBB9	unassigned
B2ZBC0	unassigned
B2ZG38	convertase
B3A0N7	unassigned
B3EWF2	unassigned
B3EWF3	unassigned
B3EWF4	unassigned
B3EWF5	unassigned
B3EWF6	unassigned
B3EWG0	convertase
B3EWH5	unassigned
B3EWH6	unassigned
B3EWR6	negative
B3EWS5	unassigned
B3EWS6	unassigned
B3EWT0	unassigned
B3EWY4	unassigned
B3F0J0	unassigned
B3FIA5	convertase
B3FIA6	convertase
B3FIN4	unassigned
B3FIQ7	convertase
B3FIS0	unassigned
B3FIS1	convertase
B3FIS2	convertase
B3FIS3	convertase
B3FIS4	convertase
B3FIS5	convertase
B3FIS6	convertase
B3FIS7	convertase
B3FIU2	unassigned
B3FIV1	convertase
B3GS44	unassigned
B3H4B5	negative_context
B3H587	unassigned
B3H5A9	unassigned
B3H5J1	unassigned
B3H5Q2	unassigned
B3H7I1	convertase
B3IUD8	convertase
B3IUE0	convertase
B3IWF7	convertase
B3IWF8	convertase
B3IWF9	convertase
B3LPD6	unassigned
B3LPW3	convertase
B3LPW4	convertase
B3LQU0	convertase
B3LQU1	convertase
B3LVG7	zymogen_protease
B3MFC2	unassigned
B3NSF6	unassigned
B3P3J9	zymogen_protease
B3QZT2	unassigned
B3SP85	unassigned
B3SVF0	unassigned
B3SVF1	unassigned
B3TNB9	unassigned
B3VZU0	convertase
B3VZU1	convertase
B3VZU2	convertase
B3VZU3	convertase
B3VZU4	convertase
B3VZU5	convertase
B3VZU6	convertase
B4ESA3	negative_context
B4GAN3	unassigned
B4HEM8	zymogen_protease
B4HNI3	unassigned
B4I414	negative_context
B4J8Z9	unassigned
B4JTF5	zymogen_protease
B4K4M0	zymogen_protease
B4KR21	unassigned
B4LQ44	unassigned
B4LZT9	zymogen_protease
B4MQJ1	unassigned
B4P641	unassigned
B4PST0	zymogen_protease
B4QBL6	unassigned
B4QW11	negative_context
B4QZU6	zymogen_protease
B4R1D8	zymogen_protease
B4THR7	unassigned
B4YSU8	unassigned
B5A5T4	unassigned
B5A9S9	convertase
B5A9T0	unassigned
B5A9T1	unassigned
B5E022	unassigned
B5E4L9	unassigned
B5G6G5	convertase
B5IEE5	zymogen_protease
B5KVH4	negative_context
B5L5P3	negative_context
B5LMM0	unassigned
B5LUQ3	unassigned
B5LUQ4	unassigned
B5LUQ5	unassigned
B5LUQ6	unassigned
B5LUQ8	unassigned
B5LUQ9	unassigned
B5LUR0	unassigned
B5MFD0	unassigned
B5R066	negative_context
B5R699	negative_context
B5SY89	unassigned
B5U2W0	zymogen_protease
B5U6Y3	negative_context
B5VE42	unassigned
B5VL25	convertase
B5VL26	convertase
B5VL27	convertase
B5X216	negative_context
B5ZB18	unassigned
B6DCJ0	unassigned
B6DCJ1	unassigned
B6DCJ3	unassigned
B6DCJ4	unassigned
B6DCJ5	unassigned
B6DCJ6	unassigned
B6DCJ7	unassigned
B6DCJ9	unassigned
B6DCK0	unassigned
B6DCK1	unassigned
B6DCK2	unassigned
B6DCK3	unassigned
B6DCK4	unassigned
B6DCK5	unassigned
B6DCK6	unassigned
B6DCK8	unassigned
B6DCK9	unassigned
B6DCL0	unassigned
B6DCL1	unassigned
B6DCL2	unassigned
B6DCL3	unassigned
B6DCL4	unassigned
B6DCL5	unassigned
B6DCL6	unassigned
B6DCL7	unassigned
B6DCL8	unassigned
B6DCL9	unassigned
B6DCM0	unassigned
B6DCM1	unassigned
B6DCM2	unassigned
B6DCM3	unassigned
B6DCM4	unassigned
B6DCM5	unassigned
B6DCM6	unassigned
B6DCM7	unassigned
B6DCM8	unassigned
B6DCM9	unassigned
B6DCN0	unassigned
B6DCN1	unassigned
B6DCN2	unassigned
B6DCN3	unassigned
B6DCN4	unassigned
B6DCN5	unassigned
B6DCN6	unassigned
B6DCN7	unassigned
B6DCN8	unassigned
B6DCN9	unassigned
B6DCP0	unassigned
B6DCP1	unassigned
B6DCP2	unassigned
B6DCP3	unassigned
B6DCP4	unassigned
B6DCP5	unassigned
B6DCP6	unassigned
B6DCP7	unassigned
B6DCQ0	unassigned
B6DCQ1	unassigned
B6DCQ2	unassigned
B6DCQ3	unassigned
B6DCQ4	unassigned
B6DCQ5	unassigned
B6DCQ6	unassigned
B6DCQ7	unassigned
B6DCQ8	unassigned
