accession	mechanism
A8T655	zymogen_protease
A8T658	zymogen_protease
A8T662	zymogen_protease
A8T666	zymogen_protease
A8T672	zymogen_protease
A8T677	zymogen_protease
A8T682	zymogen_protease
A8T688	zymogen_protease
A8T695	zymogen_protease
A8T6A1	zymogen_protease
A8T6A6	zymogen_protease
A8YPR6	convertase
A8YPR9	convertase
B0BK71	unassigned
B0BK72	unassigned
B0BND0	unassigned
B0KW95	convertase
B0R8E4	unassigned
B0XT72	unassigned
B1ATG9	zymogen_protease
B1NWR6	convertase
B1NWS4	convertase
B1P1D9	unassigned
B1P1E0	unassigned
B1P1E1	unassigned
B1P1E2	unassigned
B1P1E3	unassigned
B2KI42	convertase
B2KPN7	convertase
B2RH54	unassigned
B2RHG1	unassigned
B2RHG4	unassigned
B2RLK2	zymogen_protease
B3GS44	unassigned
B3H4Y2	convertase
B3H5A9	unassigned
B3H5J1	unassigned
B3H7I1	convertase
B3LV44	zymogen_protease
B3M185	unassigned
B3NZR4	unassigned
B3P7F8	zymogen_protease
B4G2I8	zymogen_protease
B4GFJ8	unassigned
B4HFB7	zymogen_protease
B4HKC7	unassigned
B4JTF5	zymogen_protease
B4K4M0	zymogen_protease
B4LY29	unassigned
B4LZT9	zymogen_protease
B4NJP3	zymogen_protease
B4PN49	zymogen_protease
B4PUP5	unassigned
B4R1D8	zymogen_protease
B4USZ0	convertase
B5A5T4	unassigned
B5LUQ7	unassigned
B5LUQ8	unassigned
B5LUQ9	unassigned
B5LUR0	unassigned
B5LUR1	unassigned
B5SY89	unassigned
B6D434	convertase
B6KAM0	unassigned
B6ULW4	unassigned
B6ULW5	unassigned
B6ULW6	unassigned
B6ULW7	unassigned
B7G6D3	zymogen_protease
B7S4N9	unassigned
B7TB45	unassigned
B8JLQ9	zymogen_protease
B8K1W0	zymogen_protease
B8N106	zymogen_protease
B9J3S4	zymogen_protease
B9W4V6	unassigned
C0HK27	unassigned
C0HKG7	unassigned
C0HKG8	unassigned
C0HKG9	unassigned
C0HL58	unassigned
C0HLG4	unassigned
C0HLV2	zymogen_protease
C0HLZ9	convertase
C0HM00	convertase
C0HM68	convertase
C0L2T8	zymogen_protease
C5H431	zymogen_protease
C6EVG7	convertase
C6KSX0	unassigned
C8XPA8	convertase
C8XPB2	zymogen_protease
C9K4X8	convertase
D0EM77	zymogen_protease
D2Y1X6	unassigned
D2Y1X7	unassigned
D2Y1X8	unassigned
D2Y1X9	unassigned
D2Y1Y0	unassigned
D2Y1Y1	unassigned
D2Y1Y2	unassigned
D2Y1Y3	unassigned
D2Y1Z4	unassigned
D2Y1Z7	unassigned
D2Y1Z8	unassigned
D2Y232	unassigned
D2Y233	unassigned
D2Y2D1	unassigned
D2Y2D2	unassigned
D2Y2D3	unassigned
D2Y2D7	unassigned
D2Y2I3	unassigned
D3TTC1	zymogen_protease
D3TTC2	zymogen_protease
D3VML5	unassigned
D3XDX9	unassigned
D3Z752	convertase
D3Z8C9	unassigned
D3Z8L7	unassigned
D3ZDI8	unassigned
D3ZS74	zymogen_protease
D3ZTT2	unassigned
D3ZZX1	unassigned
D4A540	convertase
D4AE59	unassigned
D4GYZ1	zymogen_protease
D5LGE0	convertase
D6PXE8	zymogen_protease
D7RF80	convertase
E0Y419	zymogen_protease
E0Y421	zymogen_protease
E3PQQ8	convertase
E3YBA4	unassigned
E5D3Z8	zymogen_protease
E5KIB6	unassigned
E6Y8B9	zymogen_protease
E7CLP2	unassigned
E7EZ53	convertase
E9PUN6	convertase
E9Q3E1	unassigned
E9QBI7	zymogen_protease
F1N5C8	unassigned
F1NV61	zymogen_protease
F1PAA9	convertase
F1PTE3	unassigned
F1QQI2	convertase
F1QSQ0	unassigned
F1R4U0	unassigned
F1RWC3	convertase
F4JBX1	unassigned
F4JJL0	unassigned
F4JJL3	unassigned
F4KCH3	convertase
F6PTN1	zymogen_protease
F6RBT1	unassigned
F8J4S0	unassigned
F8W2M8	zymogen_protease
G0RUP7	unassigned
G1CRV4	convertase
G1UB63	unassigned
G1UBC2	unassigned
G2X495	zymogen_protease
G2XKQ0	unassigned
G3FEX6	convertase
G3FNQ9	zymogen_protease
G4NDG4	zymogen_protease
G5EB30	unassigned
G5EBM1	zymogen_protease
G5EBU3	zymogen_protease
G5ECN9	convertase
G5EEC2	convertase
G5EEL5	unassigned
G5EFD9	convertase
G5EGM1	convertase
G5EGP8	zymogen_protease
H2DF87	zymogen_protease
H2EQR6	convertase
H2KZ60	unassigned
I0CME7	zymogen_protease
I0DEB3	convertase
I1C4E4	unassigned
I1CFE1	unassigned
I1RAQ3	unassigned
I1REI8	unassigned
I2C090	convertase
I2DBY1	unassigned
I2G9B4	unassigned
J3QMK6	unassigned
J9VHN6	unassigned
J9VND2	unassigned
J9VPD7	unassigned
J9VS02	zymogen_protease
K1WG73	unassigned
K1XT82	unassigned
K1XVG1	unassigned
K1XW16	unassigned
K4LLQ2	zymogen_protease
K8DWB5	unassigned
L0L3V3	convertase
L0PIN3	unassigned
L0PJV8	unassigned
M0R8L2	convertase
M1C146	unassigned
N0A5N4	zymogen_protease
O00212	unassigned
O00230	convertase
O00253	unassigned
O00254	unassigned
O00292	unassigned
O00451	unassigned
O00526	convertase
O01382	zymogen_protease
O02002	zymogen_protease
O02840	convertase
O03042	unassigned
O04385	unassigned
O04468	convertase
O04529	zymogen_protease
O04795	unassigned
O04796	unassigned
O06350	unassigned
O07623	unassigned
O08523	unassigned
O08529	zymogen_protease
O08543	unassigned
O08545	unassigned
O08602	unassigned
O08603	unassigned
O08604	unassigned
O08675	unassigned
O08689	convertase
O08717	convertase
O08736	zymogen_protease
O08738	zymogen_protease
O08842	unassigned
O09037	unassigned
O09043	zymogen_protease
O09049	unassigned
O09051	unassigned
O09061	unassigned
O09107	convertase
O09164	unassigned
O13318	unassigned
O13351	unassigned
O13547	unassigned
O13849	zymogen_protease
O13928	unassigned
O14113	unassigned
O14511	unassigned
O14610	unassigned
O14669	unassigned
O14672	convertase
O14773	zymogen_protease
O14793	convertase
O14798	unassigned
O14807	unassigned
O14944	unassigned
O15072	convertase
O15130	convertase
O15204	zymogen_protease
O15496	convertase
O15498	unassigned
O15943	unassigned
O16846	convertase
O17798	convertase
O18733	zymogen_protease
O18754	unassigned
O18823	zymogen_protease
O18831	convertase
O18836	convertase
O18927	zymogen_protease
O19045	convertase
O19073	unassigned
O23507	zymogen_protease
O23710	zymogen_protease
O23717	zymogen_protease
O31422	unassigned
O34313	unassigned
O34344	unassigned
O35118	unassigned
O35186	zymogen_protease
O35205	zymogen_protease
O35227	unassigned
O35251	convertase
O35298	zymogen_protease
O35312	convertase
O35397	zymogen_protease
O35417	convertase
O35509	unassigned
O35521	zymogen_protease
O35522	zymogen_protease
O35523	zymogen_protease
O35524	zymogen_protease
O35548	convertase
O35569	unassigned
O35598	convertase
O35626	unassigned
O35632	unassigned
O35674	convertase
O35728	unassigned
O35757	convertase
O35902	convertase
O35926	unassigned
O35955	zymogen_protease
O35975	unassigned
O39927	zymogen_protease
O39928	zymogen_protease
O39929	zymogen_protease
O41515	unassigned
O42220	convertase
O42221	convertase
O42222	convertase
O42364	unassigned
O42779	zymogen_protease
O42825	unassigned
O43169	unassigned
O43184	convertase
O43280	unassigned
O43464	zymogen_protease
O43506	zymogen_protease
O43612	convertase
O43653	unassigned
O43895	zymogen_protease
O43897	zymogen_protease
O43915	convertase
O43921	unassigned
O44185	convertase
O44516	unassigned
O44712	unassigned
O44836	convertase
O45734	zymogen_protease
O46427	zymogen_protease
O46501	unassigned
O46540	unassigned
O46564	convertase
O46576	convertase
O48915	unassigned
O49006	unassigned
O54329	unassigned
O54715	unassigned
O54732	convertase
O54766	convertase
O54767	convertase
O54800	convertase
O54861	convertase
O55111	convertase
O55123	zymogen_protease
O55183	unassigned
O55186	unassigned
O55232	convertase
O55234	zymogen_protease
O55241	convertase
O57413	zymogen_protease
O57460	zymogen_protease
O59893	convertase
O60259	zymogen_protease
O60383	convertase
O60494	convertase
O60609	unassigned
O60882	zymogen_protease
O60884	unassigned
O60911	zymogen_protease
O61142	zymogen_protease
O61643	convertase
O61705	unassigned
O61722	unassigned
O62643	unassigned
O62680	unassigned
O62806	zymogen_protease
O65039	zymogen_protease
O65351	zymogen_protease
O65390	zymogen_protease
O65493	zymogen_protease
O70138	zymogen_protease
O70176	convertase
O70244	convertase
O70274	unassigned
O70370	zymogen_protease
O74213	convertase
O74752	unassigned
O74922	unassigned
O75003	unassigned
O75015	unassigned
O75077	convertase
O75078	convertase
O75173	convertase
O75326	unassigned
O75365	unassigned
O75443	unassigned
O75487	unassigned
O75601	zymogen_protease
O75610	unassigned
O75781	unassigned
O75829	convertase
O75882	unassigned
O75888	convertase
O75900	convertase
O76818	convertase
O76856	zymogen_protease
O77150	unassigned
O77633	convertase
O77656	zymogen_protease
O77668	convertase
O77726	convertase
O77801	convertase
O80460	unassigned
O82777	convertase
O87236	unassigned
O87237	unassigned
O88038	unassigned
O88272	convertase
O88307	convertase
O88310	unassigned
O88507	unassigned
O88634	unassigned
O88676	convertase
O88766	zymogen_protease
O88767	zymogen_protease
O88780	zymogen_protease
O88783	zymogen_protease
O88839	convertase
O88875	unassigned
O88947	convertase
O89017	zymogen_protease
O89023	zymogen_protease
O89094	zymogen_protease
O89110	zymogen_protease
O91532	unassigned
O91936	zymogen_protease
O92529	zymogen_protease
O92530	zymogen_protease
O92531	zymogen_protease
O92532	zymogen_protease
O92920	unassigned
O92972	zymogen_protease
O93523	zymogen_protease
O94183	unassigned
O94272	unassigned
O94309	unassigned
O94363	unassigned
O94614	unassigned
O94753	zymogen_protease
O94779	unassigned
O95057	unassigned
O95166	unassigned
O95274	unassigned
O95390	convertase
O95393	convertase
O95399	convertase
O95450	zymogen_protease
O95497	unassigned
O95498	unassigned
O95760	unassigned
O95831	unassigned
O95867	unassigned
O95868	unassigned
O95971	unassigned
O95972	unassigned
O95980	unassigned
O96009	zymogen_protease
O96390	unassigned
O97364	zymogen_protease
O97939	unassigned
P00410	unassigned
P00433	unassigned
P00440	unassigned
P00488	zymogen_protease
P00497	unassigned
P00590	unassigned
P00592	zymogen_protease
P00593	zymogen_protease
P00594	zymogen_protease
P00596	unassigned
P00597	unassigned
P00598	unassigned
P00611	unassigned
P00617	unassigned
P00618	unassigned
P00619	unassigned
P00627	unassigned
P00628	unassigned
P00629	unassigned
P00630	unassigned
P00644	zymogen_protease
P00729	zymogen_protease
P00730	zymogen_protease
P00734	convertase
P00735	convertase
P00740	convertase
P00741	zymogen_protease
P00742	convertase
P00743	convertase
P00745	convertase
P00746	zymogen_protease
P00747	convertase
P00750	convertase
P00752	zymogen_protease
P00755	zymogen_protease
P00756	zymogen_protease
P00759	zymogen_protease
P00760	zymogen_protease
P00762	zymogen_protease
P00763	zymogen_protease
P00772	zymogen_protease
P00773	zymogen_protease
P00777	zymogen_protease
P00780	zymogen_protease
P00782	zymogen_protease
P00784	zymogen_protease
P00785	zymogen_protease
P00786	zymogen_protease
P00787	zymogen_protease
P00791	zymogen_protease
P00794	zymogen_protease
P00795	zymogen_protease
P00796	convertase
P00797	convertase
P00854	unassigned
P00875	unassigned
P00876	unassigned
P00877	unassigned
P00974	unassigned
P00981	unassigned
P01021	convertase
P01029	convertase
P01030	convertase
P01031	convertase
P01089	convertase
P01111	unassigned
P01112	unassigned
P01116	unassigned
P01119	unassigned
P01120	unassigned
P01127	convertase
P01134	unassigned
P01135	unassigned
P01138	convertase
P01139	convertase
P01142	convertase
P01143	convertase
P01160	unassigned
P01161	convertase
P01168	convertase
P01190	convertase
P01191	convertase
P01192	convertase
P01193	convertase
P01210	convertase
P01211	convertase
P01213	convertase
P01222	unassigned
P01235	unassigned
P01257	convertase
P01258	convertase
P01268	convertase
P01270	convertase
P01272	convertase
P01274	convertase
P01275	convertase
P01282	convertase
P01283	convertase
P01286	convertase
P01289	convertase
P01297	convertase
P01298	convertase
P01308	convertase
P01315	convertase
P01317	convertase
P01321	convertase
P01322	convertase
P01323	convertase
P01325	convertase
P01326	convertase
P01329	convertase
P01344	convertase
P01346	convertase
P01347	convertase
P01348	convertase
P01350	convertase
P01355	convertase
P01362	convertase
P01501	unassigned
P01522	unassigned
P01523	convertase
P01579	convertase
P01582	unassigned
P01583	unassigned
P01584	unassigned
P01830	unassigned
P01831	unassigned
P02452	unassigned
P02453	unassigned
P02454	unassigned
P02457	unassigned
P02458	unassigned
P02459	unassigned
P02460	unassigned
P02461	unassigned
P02462	unassigned
P02463	unassigned
P02465	unassigned
P02466	unassigned
P02467	unassigned
P02545	unassigned
P02572	unassigned
P02574	unassigned
P02592	unassigned
P02698	unassigned
P02702	unassigned
P02765	unassigned
P02768	convertase
P02769	convertase
P02770	convertase
P02818	convertase
P02820	convertase
P02822	convertase
P02866	unassigned
P02870	unassigned
P02879	unassigned
P02893	unassigned
P02945	unassigned
P02974	unassigned
P02976	unassigned
P03153	unassigned
P03314	convertase
P03607	unassigned
P03953	zymogen_protease
P03954	zymogen_protease
P03956	zymogen_protease
P03957	zymogen_protease
P03967	unassigned
P03969	unassigned
P03970	convertase
P03971	unassigned
P03994	unassigned
P04002	unassigned
P04022	convertase
P04024	zymogen_protease
P04025	zymogen_protease
P04039	convertase
P04054	zymogen_protease
P04055	zymogen_protease
P04058	unassigned
P04070	convertase
P04085	convertase
P04088	convertase
P04089	convertase
P04090	convertase
P04094	convertase
P04118	unassigned
P04156	unassigned
P04166	unassigned
P04187	zymogen_protease
P04189	zymogen_protease
P04216	unassigned
P04273	unassigned
P04388	unassigned
P04405	unassigned
P04640	convertase
P04717	unassigned
P04737	unassigned
P04739	unassigned
P04776	unassigned
P04822	unassigned
P04836	convertase
P04917	unassigned
P04925	unassigned
P04932	unassigned
P04933	unassigned
P04963	convertase
P04971	zymogen_protease
P05017	unassigned
P05019	unassigned
P05110	convertase
P05111	convertase
P05117	unassigned
P05125	convertase
P05154	unassigned
P05161	unassigned
P05164	unassigned
P05186	unassigned
P05187	unassigned
P05200	convertase
P05208	zymogen_protease
P05230	unassigned
P05305	convertase
P05431	unassigned
P05484	unassigned
P05533	unassigned
P05539	unassigned
P05620	zymogen_protease
P05769	convertase
P05997	unassigned
P06003	unassigned
P06181	convertase
P06281	zymogen_protease
P06296	convertase
P06298	convertase
P06299	convertase
P06300	convertase
P06307	convertase
P06575	unassigned
P06585	unassigned
P06596	zymogen_protease
P06623	unassigned
P06684	convertase
P06731	unassigned
P06750	unassigned
P06767	convertase
P06780	unassigned
P06781	unassigned
P06797	zymogen_protease
P06807	zymogen_protease
P06811	unassigned
P06850	convertase
P06865	zymogen_protease
P06867	convertase
P06868	convertase
P06870	zymogen_protease
P06875	zymogen_protease
P06881	convertase
P06883	convertase
P06915	unassigned
P06935	convertase
P07056	unassigned
P07140	unassigned
P07146	zymogen_protease
P07154	zymogen_protease
P07170	unassigned
P07224	convertase
P07225	convertase
P07231	convertase
P07255	convertase
P07267	zymogen_protease
P07268	zymogen_protease
P07288	zymogen_protease
P07339	zymogen_protease
P07357	convertase
P07358	unassigned
P07455	unassigned
P07456	convertase
P07477	zymogen_protease
P07478	zymogen_protease
P07492	convertase
P07499	unassigned
P07500	unassigned
P07501	unassigned
P07519	zymogen_protease
P07564	convertase
P07567	unassigned
P07570	zymogen_protease
P07572	zymogen_protease
P07584	zymogen_protease
P07585	unassigned
P07602	unassigned
P07647	zymogen_protease
P07662	zymogen_protease
P07686	zymogen_protease
P07688	zymogen_protease
P07692	unassigned
P07711	zymogen_protease
P07713	unassigned
P07720	convertase
P07724	convertase
P07753	unassigned
P07858	zymogen_protease
P07911	unassigned
P07987	unassigned
P07988	unassigned
P07994	convertase
P07995	convertase
P08001	zymogen_protease
P08021	convertase
P08025	unassigned
P08067	unassigned
P08120	unassigned
P08121	unassigned
P08122	unassigned
P08123	unassigned
P08134	unassigned
P08148	zymogen_protease
P08174	unassigned
P08176	zymogen_protease
P08217	zymogen_protease
P08218	zymogen_protease
P08246	zymogen_protease
P08252	unassigned
P08253	zymogen_protease
P08254	zymogen_protease
P08289	unassigned
P08306	unassigned
P08311	zymogen_protease
P08419	zymogen_protease
P08424	convertase
P08476	convertase
P08493	unassigned
P08556	unassigned
P08569	unassigned
P08571	unassigned
P08572	unassigned
P08582	unassigned
P08594	zymogen_protease
P08640	unassigned
P08641	convertase
P08642	unassigned
P08644	unassigned
P08645	unassigned
P08646	unassigned
P08647	unassigned
P08649	convertase
P08650	convertase
P08697	unassigned
P08709	convertase
P08796	unassigned
P08818	zymogen_protease
P08819	zymogen_protease
P08861	zymogen_protease
P08878	unassigned
P08882	zymogen_protease
P08883	zymogen_protease
P08884	zymogen_protease
P08897	zymogen_protease
P08928	unassigned
P08949	convertase
P08989	convertase
P09010	unassigned
P09038	unassigned
P09040	convertase
P09167	unassigned
P09230	convertase
P09232	zymogen_protease
P09237	zymogen_protease
P09238	zymogen_protease
P09240	convertase
P09242	unassigned
P09326	unassigned
P09487	unassigned
P09529	convertase
P09535	convertase
P09543	unassigned
P09545	unassigned
P09558	convertase
P09598	zymogen_protease
P09668	zymogen_protease
P09681	convertase
P09683	convertase
P09732	convertase
P09803	convertase
P09831	zymogen_protease
P09848	zymogen_protease
P09849	zymogen_protease
P09866	convertase
P09916	convertase
P09923	unassigned
P09936	zymogen_protease
P09958	convertase
P09971	convertase
P0A444	unassigned
P0A446	unassigned
P0A6G7	zymogen_protease
P0ABF1	unassigned
P0ACE0	unassigned
P0AD68	zymogen_protease
P0C0J0	zymogen_protease
P0C0J1	zymogen_protease
P0C0L4	convertase
P0C0L5	convertase
P0C0P6	convertase
P0C195	convertase
P0C1D0	unassigned
P0C1U8	zymogen_protease
P0C1W5	unassigned
P0C1W6	unassigned
P0C247	unassigned
P0C248	unassigned
P0C250	unassigned
P0C512	unassigned
P0C573	unassigned
P0C5B4	zymogen_protease
P0C625	unassigned
P0C692	unassigned
P0C699	unassigned
P0C6E4	zymogen_protease
P0C6E8	zymogen_protease
P0C6G7	unassigned
P0C6G9	unassigned
P0C6H2	unassigned
P0C6H3	unassigned
P0C6H5	unassigned
P0C6I1	unassigned
P0C6I5	unassigned
P0C6J0	unassigned
P0C6J2	unassigned
P0C6J3	unassigned
P0C6J4	unassigned
P0C6J5	unassigned
P0C6J6	unassigned
P0C7B0	zymogen_protease
P0C7P5	convertase
P0C828	unassigned
P0C8P9	unassigned
P0CB20	unassigned
P0CE79	zymogen_protease
P0CE80	zymogen_protease
P0CE82	zymogen_protease
P0CE83	zymogen_protease
P0CG03	zymogen_protease
P0CG37	unassigned
P0CG47	unassigned
P0CG48	unassigned
P0CG49	unassigned
P0CG51	unassigned
P0CG53	unassigned
P0CG63	unassigned
P0CH24	convertase
P0CH90	convertase
P0CS83	convertase
P0CS93	unassigned
P0CX80	unassigned
P0CX81	unassigned
P0CY26	convertase
P0CY27	convertase
P0CY28	convertase
P0CY29	convertase
P0CY32	unassigned
P0CY33	unassigned
P0CY66	unassigned
P0DD38	zymogen_protease
P0DJ06	convertase
P0DJ41	convertase
P0DJD7	zymogen_protease
P0DJD8	zymogen_protease
P0DJD9	zymogen_protease
P0DJI8	unassigned
P0DJM0	unassigned
P0DKL3	unassigned
P0DKU2	convertase
P0DKZ0	unassigned
P0DM21	unassigned
P0DM92	unassigned
P0DMB4	unassigned
P0DMB5	unassigned
P0DO76	unassigned
P0DOH7	convertase
P0DOH8	convertase
P0DOH9	convertase
P0DOK8	convertase
P0DP58	unassigned
P0DP60	unassigned
P0DPA6	unassigned
P0DPQ9	unassigned
P0DRL4	convertase
P0DRM4	convertase
P0DRM5	convertase
P0DRM6	convertase
P0DSP1	convertase
P0DY99	unassigned
P0DYB0	convertase
P10000	convertase
P10039	convertase
P10056	zymogen_protease
P10082	convertase
P10092	convertase
P10114	unassigned
P10144	zymogen_protease
P10252	unassigned
P10253	unassigned
P10279	unassigned
P10287	convertase
P10288	convertase
P10297	unassigned
P10301	unassigned
P10323	zymogen_protease
P10547	zymogen_protease
P10552	convertase
P10605	zymogen_protease
P10611	unassigned
P10631	convertase
P10674	unassigned
P10683	convertase
P10696	unassigned
P10731	convertase
P10749	unassigned
P10754	unassigned
P10761	convertase
P10763	unassigned
P10764	convertase
P10810	unassigned
P10833	unassigned
P10863	unassigned
P10960	unassigned
P10981	unassigned
P10984	unassigned
P10987	unassigned
P10997	convertase
P11032	zymogen_protease
P11048	unassigned
P11087	unassigned
P11214	convertase
P11233	unassigned
P11234	unassigned
P11247	unassigned
P11280	convertase
P11383	unassigned
P11384	convertase
P11477	unassigned
P11491	unassigned
P11541	unassigned
P11542	convertase
P11678	unassigned
P11685	unassigned
P11686	unassigned
P11827	unassigned
P11828	unassigned
P11885	convertase
P12019	unassigned
P12105	unassigned
P12107	unassigned
P12226	unassigned
P12256	zymogen_protease
P12259	zymogen_protease
P12272	convertase
P12544	zymogen_protease
P12545	zymogen_protease
P12547	zymogen_protease
P12643	convertase
P12644	convertase
P12645	convertase
P12729	unassigned
P12760	convertase
P12823	convertase
P12825	unassigned
P12830	convertase
P12838	unassigned
P12919	convertase
P12960	unassigned
P12968	convertase
P12969	convertase
P13085	convertase
P13109	unassigned
P13134	convertase
P13206	convertase
P13207	convertase
P13208	unassigned
P13233	unassigned
P13238	unassigned
P13265	unassigned
P13284	unassigned
P13385	unassigned
P13497	convertase
P13521	convertase
P13582	zymogen_protease
P13589	convertase
P13609	unassigned
P13725	convertase
P13727	unassigned
P13852	unassigned
P13856	unassigned
P13941	unassigned
P13942	unassigned
P13943	zymogen_protease
P13987	unassigned
P14091	zymogen_protease
P14138	convertase
P14151	unassigned
P14207	unassigned
P14250	zymogen_protease
P14269	unassigned
P14280	zymogen_protease
P14335	convertase
P14336	convertase
P14337	convertase
P14340	convertase
P14384	zymogen_protease
P14403	convertase
P14530	zymogen_protease
P14580	unassigned
P14581	unassigned
P14731	unassigned
P14732	unassigned
P14733	unassigned
P14738	unassigned
P14756	zymogen_protease
P14780	zymogen_protease
P14789	zymogen_protease
P14894	unassigned
P14904	zymogen_protease
P14925	convertase
P15064	unassigned
P15085	zymogen_protease
P15086	zymogen_protease
P15087	convertase
P15116	convertase
P15133	unassigned
P15153	unassigned
P15167	zymogen_protease
P15322	unassigned
P15328	unassigned
P15513	convertase
P15514	unassigned
P15655	unassigned
P15693	unassigned
P15812	unassigned
P15875	unassigned
P15926	zymogen_protease
P15945	zymogen_protease
P15946	zymogen_protease
P15947	zymogen_protease
P15948	zymogen_protease
P15949	zymogen_protease
P16033	unassigned
P16043	unassigned
P16225	unassigned
P16228	zymogen_protease
P16278	zymogen_protease
P16291	convertase
P16292	convertase
P16293	zymogen_protease
P16294	convertase
P16296	convertase
P16311	zymogen_protease
P16330	unassigned
P16396	zymogen_protease
P16444	zymogen_protease
P16499	unassigned
P16501	unassigned
P16519	convertase
P16545	unassigned
P16598	unassigned
P16613	convertase
P16636	unassigned
P16870	convertase
P16952	unassigned
P17081	unassigned
P17085	unassigned
P17099	unassigned
P17139	unassigned
P17260	unassigned
P17322	convertase
P17347	zymogen_protease
P17349	zymogen_protease
P17404	convertase
P17490	convertase
P17491	convertase
P17534	unassigned
P17655	zymogen_protease
P17715	convertase
P17727	unassigned
P17763	convertase
P17896	zymogen_protease
P17900	unassigned
P17977	zymogen_protease
P17981	unassigned
P17982	unassigned
P18075	unassigned
P18104	convertase
P18181	unassigned
P18242	zymogen_protease
P18254	unassigned
P18280	convertase
P18291	zymogen_protease
P18292	convertase
P18331	convertase
P18337	unassigned
P18356	convertase
P18430	unassigned
P18509	convertase
P18613	unassigned
P18852	unassigned
P18965	zymogen_protease
P19021	convertase
P19022	convertase
P19069	convertase
P19073	unassigned
P19110	convertase
P19121	unassigned
P19171	unassigned
P19218	unassigned
P19221	convertase
P19236	zymogen_protease
P19402	convertase
P19534	convertase
P19540	convertase
P19596	unassigned
P19597	unassigned
P19599	unassigned
P19637	convertase
P19660	unassigned
P19661	unassigned
P19813	unassigned
P19823	unassigned
P19827	unassigned
P19957	unassigned
P19971	unassigned
P20002	unassigned
P20003	unassigned
P20005	zymogen_protease
P20033	convertase
P20142	zymogen_protease
P20151	zymogen_protease
P20160	zymogen_protease
P20164	zymogen_protease
P20171	unassigned
P20181	convertase
P20231	zymogen_protease
P20239	convertase
P20305	unassigned
P20310	convertase
P20366	convertase
P20398	unassigned
P20481	convertase
P20618	unassigned
P20700	unassigned
P20718	zymogen_protease
P20722	convertase
P20783	convertase
P20800	convertase
P20816	unassigned
P20817	unassigned
P20827	unassigned
P20840	unassigned
P20863	convertase
P20908	unassigned
P20909	unassigned
P20918	convertase
P20974	unassigned
P21237	convertase
P21274	convertase
P21275	convertase
P21529	zymogen_protease
P21588	unassigned
P21589	unassigned
P21617	convertase
P21619	unassigned
P21661	convertase
P21692	zymogen_protease
P21754	convertase
P21786	convertase
P21793	unassigned
P21809	unassigned
P21810	unassigned
P21812	zymogen_protease
P21844	zymogen_protease
P21845	zymogen_protease
P21902	convertase
P21910	unassigned
P22003	convertase
P22004	convertase
P22005	convertase
P22063	unassigned
P22079	unassigned
P22129	unassigned
P22146	unassigned
P22223	convertase
P22226	unassigned
P22288	unassigned
P22304	zymogen_protease
P22338	convertase
P22355	unassigned
P22387	convertase
P22388	convertase
P22389	convertase
P22412	zymogen_protease
P22457	convertase
P22466	convertase
P22725	unassigned
P22748	unassigned
